Datetime,Ticker,Open,High,Low,Close,Volume
2025-01-06 09:30:00-05:00,AAPL,243.0,243.02,242.95,242.96,11717
2025-01-06 09:30:00-05:00,MSFT,418.0,418.49,417.65,417.79,18072
2025-01-06 09:30:00-05:00,NVDA,140.0,140.04,139.93,139.93,13932
2025-01-06 09:30:00-05:00,TSLA,380.0,380.54,379.52,380.08,30455
2025-01-06 09:31:00-05:00,AAPL,242.96,243.24,242.73,243.13,10697
2025-01-06 09:31:00-05:00,MSFT,417.79,417.99,417.67,417.85,25321
2025-01-06 09:31:00-05:00,NVDA,139.93,139.97,139.86,139.93,5545
2025-01-06 09:31:00-05:00,TSLA,380.08,380.3,379.29,379.58,16384
2025-01-06 09:32:00-05:00,AAPL,243.13,243.15,243.01,243.08,44453
2025-01-06 09:32:00-05:00,MSFT,417.85,417.91,416.45,416.6,47395
2025-01-06 09:32:00-05:00,NVDA,139.93,140.01,139.87,139.87,33209
2025-01-06 09:32:00-05:00,TSLA,379.58,380.04,379.48,379.81,43768
2025-01-06 09:33:00-05:00,AAPL,243.08,243.26,243.07,243.18,47590
2025-01-06 09:33:00-05:00,MSFT,416.6,416.67,416.33,416.51,8132
2025-01-06 09:33:00-05:00,NVDA,139.87,139.9,139.66,139.75,5473
2025-01-06 09:33:00-05:00,TSLA,379.81,380.1,379.21,379.26,42201
2025-01-06 09:34:00-05:00,AAPL,243.18,243.3,243.01,243.1,5425
2025-01-06 09:34:00-05:00,MSFT,416.51,416.9,416.37,416.76,31215
2025-01-06 09:34:00-05:00,NVDA,139.75,139.76,139.6,139.66,21377
2025-01-06 09:34:00-05:00,TSLA,379.26,379.35,378.6,378.81,37258
2025-01-06 09:35:00-05:00,AAPL,243.1,243.16,243.03,243.16,32696
2025-01-06 09:35:00-05:00,MSFT,416.76,417.06,416.32,417.04,30339
2025-01-06 09:35:00-05:00,NVDA,139.66,139.72,139.46,139.56,30540
2025-01-06 09:35:00-05:00,TSLA,378.81,379.96,378.78,379.85,7487
2025-01-06 09:36:00-05:00,AAPL,243.16,243.22,242.97,243.08,11078
2025-01-06 09:36:00-05:00,MSFT,417.04,417.15,416.83,416.9,39031
2025-01-06 09:36:00-05:00,NVDA,139.56,139.65,139.47,139.61,38856
2025-01-06 09:36:00-05:00,TSLA,379.85,380.15,379.8,380.08,5044
2025-01-06 09:37:00-05:00,AAPL,243.08,243.16,242.94,243.02,27541
2025-01-06 09:37:00-05:00,MSFT,416.9,416.91,416.44,416.53,32820
2025-01-06 09:37:00-05:00,NVDA,139.61,139.71,139.46,139.7,49868
2025-01-06 09:37:00-05:00,TSLA,380.08,380.67,379.85,380.54,13551
2025-01-06 09:38:00-05:00,AAPL,243.02,243.15,242.65,242.67,29807
2025-01-06 09:38:00-05:00,MSFT,416.53,417.16,416.42,417.03,26050
2025-01-06 09:38:00-05:00,NVDA,139.7,139.8,139.62,139.67,17320
2025-01-06 09:38:00-05:00,TSLA,380.54,380.64,380.29,380.41,8903
2025-01-06 09:39:00-05:00,AAPL,242.67,242.76,242.32,242.37,46198
2025-01-06 09:39:00-05:00,MSFT,417.03,417.18,416.45,416.56,24375
2025-01-06 09:39:00-05:00,NVDA,139.67,139.7,139.61,139.65,23978
2025-01-06 09:39:00-05:00,TSLA,380.41,380.66,379.66,379.69,14283
2025-01-06 09:40:00-05:00,AAPL,242.37,242.53,241.85,242.02,8003
2025-01-06 09:40:00-05:00,MSFT,416.56,416.83,416.08,416.36,28038
2025-01-06 09:40:00-05:00,NVDA,139.65,139.82,139.55,139.77,37243
2025-01-06 09:40:00-05:00,TSLA,379.69,380.16,379.38,379.8,29483
2025-01-06 09:41:00-05:00,AAPL,242.02,242.13,241.66,241.84,10229
2025-01-06 09:41:00-05:00,MSFT,416.36,416.97,416.25,416.65,28105
2025-01-06 09:41:00-05:00,NVDA,139.77,139.84,139.76,139.83,8252
2025-01-06 09:41:00-05:00,TSLA,379.8,379.88,378.79,379.06,43405
2025-01-06 09:42:00-05:00,AAPL,241.84,242.33,241.74,242.14,28909
2025-01-06 09:42:00-05:00,MSFT,416.65,416.8,416.08,416.32,8759
2025-01-06 09:42:00-05:00,NVDA,139.83,139.86,139.77,139.86,13194
2025-01-06 09:42:00-05:00,TSLA,379.06,379.42,378.99,379.32,33630
2025-01-06 09:43:00-05:00,AAPL,242.14,242.38,242.04,242.32,48920
2025-01-06 09:43:00-05:00,MSFT,416.32,416.58,415.62,415.75,28809
2025-01-06 09:43:00-05:00,NVDA,139.86,139.88,139.73,139.84,20257
2025-01-06 09:43:00-05:00,TSLA,379.32,379.62,378.85,379.49,47544
2025-01-06 09:44:00-05:00,AAPL,242.32,242.6,242.16,242.26,16215
2025-01-06 09:44:00-05:00,MSFT,415.75,415.78,415.03,415.06,44817
2025-01-06 09:44:00-05:00,NVDA,139.84,139.87,139.83,139.86,37662
2025-01-06 09:44:00-05:00,TSLA,379.49,379.76,378.88,379.25,45220
2025-01-06 09:45:00-05:00,AAPL,242.26,242.35,241.97,241.99,35294
2025-01-06 09:45:00-05:00,MSFT,415.06,415.25,414.86,415.15,13272
2025-01-06 09:45:00-05:00,NVDA,139.86,140.08,139.86,140.0,7079
2025-01-06 09:45:00-05:00,TSLA,379.25,379.28,378.82,378.95,43597
2025-01-06 09:46:00-05:00,AAPL,241.99,242.24,241.36,241.46,49866
2025-01-06 09:46:00-05:00,MSFT,415.15,415.96,415.01,415.81,42174
2025-01-06 09:46:00-05:00,NVDA,140.0,140.12,139.85,139.87,30717
2025-01-06 09:46:00-05:00,TSLA,378.95,379.27,378.93,379.1,16646
2025-01-06 09:47:00-05:00,AAPL,241.46,241.55,241.04,241.22,8665
2025-01-06 09:47:00-05:00,MSFT,415.81,416.23,415.79,416.11,34486
2025-01-06 09:47:00-05:00,NVDA,139.87,139.94,139.83,139.86,17595
2025-01-06 09:47:00-05:00,TSLA,379.1,379.16,378.32,378.78,42541
2025-01-06 09:48:00-05:00,AAPL,241.22,241.26,241.18,241.23,18826
2025-01-06 09:48:00-05:00,MSFT,416.11,416.55,416.09,416.49,39698
