timestamp,temperature_f,humidity,wind_speed_mph,precipitation_in,weather_condition
2023-06-01 00:00:00,61.6,52.4,7.6,0.0,Clear
2023-06-01 01:00:00,64.1,40.9,0.4,0.0,Clear
2023-06-01 02:00:00,61.4,52.9,10.4,0.0,Clear
2023-06-01 03:00:00,63.2,32.9,5.6,0.0,Partly Cloudy
2023-06-01 04:00:00,62.7,74.7,8.2,0.0,Partly Cloudy
2023-06-01 05:00:00,63.2,53.2,10.7,0.0,Partly Cloudy
2023-06-01 06:00:00,67.3,63.8,5.7,0.0,Clear
2023-06-01 07:00:00,68.6,52.6,3.1,0.0,Partly Cloudy
2023-06-01 08:00:00,70.2,60.9,2.2,0.0,Clear
2023-06-01 09:00:00,65.0,53.7,6.8,0.0,Clear
2023-06-01 10:00:00,72.3,20,12.9,0.0,Partly Cloudy
2023-06-01 11:00:00,67.8,51.3,13.6,0.0,Partly Cloudy
2023-06-01 12:00:00,75.5,67.0,5.0,0.0,Cloudy
2023-06-01 13:00:00,71.4,47.9,6.4,0.0,Clear
2023-06-01 14:00:00,78.5,67.5,13.7,0.0,Fog
2023-06-01 15:00:00,75.2,43.5,14.1,0.0,Clear
2023-06-01 16:00:00,74.1,58.8,6.7,0.0,Clear
2023-06-01 17:00:00,74.7,71.6,5.3,0.0,Partly Cloudy
2023-06-01 18:00:00,65.7,75.3,5.0,0.29,Rain
2023-06-01 19:00:00,70.1,54.7,3.8,0.0,Partly Cloudy
2023-06-01 20:00:00,61.3,94.4,11.0,0.0,Cloudy
2023-06-01 21:00:00,69.2,36.5,2.9,0.0,Partly Cloudy
2023-06-01 22:00:00,62.6,46.6,4.3,0.0,Partly Cloudy
2023-06-01 23:00:00,61.6,84.3,6.6,0.36,Thunderstorm
2023-06-02 00:00:00,65.9,38.4,8.4,0.0,Partly Cloudy
2023-06-02 01:00:00,59.4,39.9,9.8,0.0,Partly Cloudy
2023-06-02 02:00:00,67.1,50.5,6.1,0.0,Partly Cloudy
2023-06-02 03:00:00,62.1,64.7,4.0,0.0,Partly Cloudy
2023-06-02 04:00:00,62.4,36.4,8.9,0.0,Clear
2023-06-02 05:00:00,60.0,40.9,5.3,0.0,Clear
2023-06-02 06:00:00,70.7,41.7,9.7,0.0,Clear
2023-06-02 07:00:00,64.4,56.1,13.2,0.0,Clear
2023-06-02 08:00:00,71.1,63.9,14.1,0.0,Clear
2023-06-02 09:00:00,71.8,35.5,0,0.0,Clear
2023-06-02 10:00:00,70.6,85.3,5.6,0.0,Cloudy
2023-06-02 11:00:00,73.6,51.5,4.1,0.0,Partly Cloudy
2023-06-02 12:00:00,70.8,61.9,10.1,0.0,Clear
2023-06-02 13:00:00,77.1,53.5,7.7,0.0,Clear
2023-06-02 14:00:00,78.0,87.3,9.0,0.34,Light Rain
2023-06-02 15:00:00,74.7,31.7,6.4,0.0,Partly Cloudy
2023-06-02 16:00:00,74.3,72.0,6.5,0.0,Partly Cloudy
2023-06-02 17:00:00,73.4,31.3,9.3,0.0,Clear
2023-06-02 18:00:00,75.6,64.0,8.6,0.0,Partly Cloudy
