196	242	3	881250949
186	302	3	891717742
22	377	1	878887116
244	51	2	880606923
166	346	1	886397596
298	474	4	884182806
115	265	2	881171488
253	465	5	891628467
305	451	3	886324817
6	86	3	883603013
62	257	2	879372434
286	1014	5	879781125
200	222	5	876042340
210	40	3	891035994
224	29	3	888104153
303	785	3	879485318
122	387	5	879270459
194	274	2	879539794
291	1042	4	874834944
234	1184	2	888104153
119	392	4	886176814
167	486	4	886397596
299	144	4	886862623
291	118	2	874834944
308	1	4	887736532
95	546	2	879196566
38	95	5	892420461
102	768	2	883748450
63	277	4	875747401
160	234	5	876861185
98	185	4	891717742
185	205	3	879522016
199	184	3	884921594
291	1188	3	874834944
103	52	4	878955039
92	318	5	875654590
291	1042	3	874834944
159	50	5	877877116
234	124	4	888104153
258	50	4	877880674
291	100	4	874834944
200	222	4	876042340
180	202	3	878955867
233	785	4	890725031
296	508	4	884196057
234	124	3	888104153
60	282	4	878955867
291	1188	5	874834944
103	52	5	878955039
291	100	3	874834944
200	222	3	876042340
180	202	4	878955867
233	785	3	890725031
296	508	5	884196057
234	124	5	888104153
60	282	3	878955867
1	1	5	874965758
1	2	3	876893171
1	3	4	878542960
2	1	4	876893119
2	2	5	876893171
2	4	3	878542420
3	1	3	874965739
3	3	5	876893100
3	5	4	878542300
4	2	4	876893050
4	4	5	878542250
4	6	3	878542100
5	1	5	874965700
5	3	4	876893000
5	5	5	878542200
6	2	3	876892950
6	4	4	878542150
6	6	5	878542050
7	1	4	874965650
7	3	3	876892900
7	7	5	878542000
8	2	5	876892850
8	4	4	878541950
8	8	3	878541900
9	1	3	874965600
9	5	4	876892800
9	9	5	878541850
10	2	4	876892750
10	6	5	878541800
10	10	3	878541750
11	3	5	876892700
11	7	4	878541700
11	11	3	878541650
12	4	4	876892650
12	8	5	878541600
12	12	4	878541550
13	5	3	876892600
13	9	4	878541500
13	13	5	878541450
14	6	4	876892550
14	10	3	878541400
14	14	4	878541350
15	7	5	876892500
15	11	4	878541300
15	15	3	878541250
