timestamp	index	task_name	image	dockerfile
2026-06-09T18:47:08Z	112	cpu-bert-finetune-optimize	hub.byted.org/dwn_open_docker/litecoder-terminal--cpu-bert-finetune-optimize:opencode-1.15.4-a20d68553f06	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/cpu-bert-finetune-optimize/environment/Dockerfile.prebuilt
2026-06-09T19:06:25Z	112	cpu-bert-finetune-optimize	hub.byted.org/dwn_open_docker/litecoder-terminal--cpu-bert-finetune-optimize:opencode-1.15.4-a20d68553f06	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/cpu-bert-finetune-optimize/environment/Dockerfile.prebuilt
2026-06-09T19:17:42Z	168	deploy-pihole-dns-sinkhole	hub.byted.org/dwn_open_docker/litecoder-terminal--deploy-pihole-dns-sinkhole:opencode-1.15.4-30f4f1a1dc78	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/deploy-pihole-dns-sinkhole/environment/Dockerfile.prebuilt
2026-06-09T19:25:14Z	168	deploy-pihole-dns-sinkhole	hub.byted.org/dwn_open_docker/litecoder-terminal--deploy-pihole-dns-sinkhole:opencode-1.15.4-30f4f1a1dc78	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/deploy-pihole-dns-sinkhole/environment/Dockerfile.prebuilt
2026-06-09T19:40:46Z	184	docker-compose-health-dashboard	hub.byted.org/dwn_open_docker/litecoder-terminal--docker-compose-health-dashboard:opencode-1.15.4-4bbb1db1c1c8	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/docker-compose-health-dashboard/environment/Dockerfile.prebuilt
2026-06-09T20:01:24Z	189	docker-monitoring-stack	hub.byted.org/dwn_open_docker/litecoder-terminal--docker-monitoring-stack:opencode-1.15.4-3d50dcd1a20c	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/docker-monitoring-stack/environment/Dockerfile.prebuilt
2026-06-09T20:04:42Z	189	docker-monitoring-stack	hub.byted.org/dwn_open_docker/litecoder-terminal--docker-monitoring-stack:opencode-1.15.4-3d50dcd1a20c	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/docker-monitoring-stack/environment/Dockerfile.prebuilt
2026-06-09T20:21:03Z	190	docker-multilang-sdk-build	hub.byted.org/dwn_open_docker/litecoder-terminal--docker-multilang-sdk-build:opencode-1.15.4-66c23149dfec	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/docker-multilang-sdk-build/environment/Dockerfile.prebuilt
2026-06-09T20:28:46Z	193	docker-task-tracker-stack	hub.byted.org/dwn_open_docker/litecoder-terminal--docker-task-tracker-stack:opencode-1.15.4-bc947a3ee80d	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/docker-task-tracker-stack/environment/Dockerfile.prebuilt
2026-06-09T20:46:28Z	203	emscripten-wasm-primes-build	hub.byted.org/dwn_open_docker/litecoder-terminal--emscripten-wasm-primes-build:opencode-1.15.4-950c42761cbb	/Users/bytedance/CodeField/LiteCoder-Terminal-opencode/emscripten-wasm-primes-build/environment/Dockerfile.prebuilt
