timestamp,machine_id,temperature,vibration,pressure,power_consumption,failure_occurred
2022-01-01 00:00:00,M001,75.2,3.1,5.2,120.5,0
2022-01-01 01:00:00,M001,76.8,3.3,5.1,122.1,0
2022-01-01 02:00:00,M001,74.5,3.0,5.3,119.8,0
2022-01-01 03:00:00,M001,75.9,3.2,5.2,121.3,0
2022-01-01 04:00:00,M001,77.1,3.4,5.0,123.5,0
2022-01-01 05:00:00,M001,76.3,3.1,5.1,120.9,0
2022-01-01 06:00:00,M001,75.8,3.3,5.2,122.0,0
2022-01-01 07:00:00,M001,78.2,3.5,4.9,124.7,0
2022-01-01 08:00:00,M001,79.5,3.8,4.8,126.2,0
2022-01-01 09:00:00,M001,80.1,4.0,4.7,127.8,0
2022-01-01 10:00:00,M001,81.3,4.2,4.6,129.1,0
2022-01-01 11:00:00,M001,82.7,4.5,4.5,131.5,1
2022-01-01 12:00:00,M001,76.0,3.2,5.1,121.0,0
2022-01-01 13:00:00,M001,75.5,3.1,5.2,120.3,0
2022-01-01 14:00:00,M001,74.8,3.0,5.3,119.5,0
2022-01-01 00:00:00,M002,68.5,2.8,5.5,115.2,0
2022-01-01 01:00:00,M002,69.1,2.9,5.4,116.0,0
2022-01-01 02:00:00,M002,68.8,2.8,5.5,115.5,0
2022-01-01 03:00:00,M002,69.5,3.0,5.4,116.8,0
2022-01-01 04:00:00,M002,70.2,3.1,5.3,117.5,0
2022-01-01 05:00:00,M002,69.8,2.9,5.4,116.2,0
2022-01-01 06:00:00,M002,70.5,3.0,5.3,117.8,0
2022-01-01 07:00:00,M002,71.2,3.2,5.2,118.9,0
2022-01-01 08:00:00,M002,72.0,3.3,5.1,120.1,0
2022-01-01 09:00:00,M002,71.5,3.1,5.2,119.3,0
2022-01-01 10:00:00,M002,70.8,3.0,5.3,118.0,0
2022-01-01 11:00:00,M002,70.2,2.9,5.4,117.2,0
2022-01-01 12:00:00,M002,69.7,2.8,5.5,116.5,0
2022-01-01 13:00:00,M002,69.3,2.8,5.5,115.8,0
2022-01-01 14:00:00,M002,68.9,2.7,5.6,115.1,0
2022-01-01 00:00:00,M003,72.3,3.4,5.0,118.7,0
